ztf_id,label,g_peak,g_duration,burst_ratio,g_rise,g_stability,r_peak,r_duration,r_rise,r_stability,peak_color,abs_mag_g
ZTF18abeyqpr,SN Ic,19.433033,31.039502300322056,0.9331267840826515,5.304082841346653,0.3207163333333334,18.812462,56.76398149970919,13.888356201565584,0.19918414285714242,0.6205709999999982,-17.09679306669747
ZTF18abjgyyr,SN Ia,18.057644,57.87677079997957,1.0,50.34751452292473,0.4373829090909092,17.989454,57.930335599929094,42.05396345322814,0.2673947999999998,0.0681900000000013,-18.597322095207122
ZTF18abgxvra,SN Ia,18.90818,24.93230320001021,1.0,0.0,0.4702299999999999,18.696974,30.827407400123775,0.0,0.26169200000000004,0.21120600000000067,-19.251936073527027
ZTF18abimsyv,SN Ia,18.487694,52.81164349988103,0.9518513864956141,24.166822879460675,0.3017596923076925,18.661427,55.965115800034255,19.520661732809252,0.14309799999999964,-0.17373299999999858,-19.319516702098493
ZTF18abjdjge,SN Ia-91T,19.06458,14.909502299968153,1.0,0.0,0.14069833333333412,18.9814,29.959155099932104,3.716075618229908,0.21919166666666653,0.0831799999999987,-19.665252835061217
ZTF18abjwahi,SN Ia,20.0921,2577.998958299868,0.9386906980740918,0.012577378526984262,0.1313339451476794,18.877037,37.984375,9.715445928705378,0.1673844444444445,1.2150629999999971,-18.06801607352703
ZTF18abjvhec,SN Ia,17.546862,30.95243060030043,1.0,57.44990623002262,0.334926833333333,17.667421,38.9514351002872,38.93864578551477,0.16628788888888874,-0.12055900000000008,-19.38881540550239
ZTF18abjrfqx,SN Ia,17.690443,48.90362269990146,1.0,42.73778038214313,0.2788538461538464,17.584896,2812.056423699949,51.75522321043195,0.17102657777777738,0.10554699999999784,-18.479973030166843
ZTF22aamjqvc,SN II,18.171558,49.92319450015202,0.9993008044196688,28.40452969786018,0.2784932499999997,17.864988,47.999282400123775,33.66921415946267,0.16446694117647057,0.3065700000000007,-17.37416434712534
ZTF18abkifng,SN Ia,18.412626,33.018749999813735,1.0,30.579282813028712,0.4612400000000001,18.75817,17.120208299718797,7.334935296915846,0.22845799999999863,-0.3455440000000003,-19.46990343427787
ZTF18abkhcwl,SN Ia,16.413445,55.94454859988764,0.02654975647738819,179.6811485473562,0.29168299999999964,16.62728,47.83035880001262,137.7200107440518,0.17021349999999985,-0.21383499999999955,-19.247853447655228
ZTF18abkhcrj,SN Ia,17.62713,58.94310180004686,1.0,63.38361546127557,0.30508957142857135,17.410471,58.80959490034729,60.776951613247334,0.19461964705882362,0.21665899999999993,-18.44500756362217
ZTF18abkjnqy,SN Ic,18.929508,15.963495400268584,1.0,0.0,99.0,17.938797,34.84928240021691,20.837105269323303,0.18551242857142825,0.9907109999999975,-16.1478895561508
ZTF18abjtgdo,SN Ia,18.363695,29.079421299975365,1.0,8.553629762383478,0.19550250000000027,18.413212,34.812245400156826,19.99252916945234,0.13516969230769285,-0.04951700000000159,-19.140524604514617
ZTF18abjtger,SN Ia,18.861547,18.956956000067294,1.0,13.185165294704504,0.17674419999999955,18.871857,32.05975699983537,8.667326596791407,0.1421028750000004,-0.010309999999996933,-19.425098399850874
ZTF18abktphg,SN Ia,18.21428,44.83276619995013,0.9370159870680006,24.654452810562667,0.3076221818181821,19.50299,6.012870399747044,0.0,99.0,-1.2887100000000018,-19.171326273598314
ZTF18ablhvfr,SN Ia,18.404037,44.97819440020248,0.9377330984694628,32.078396169533214,0.4493313333333333,18.64276,44.93753470014781,13.462322556615488,0.18157618181818239,-0.23872300000000024,-19.403173702098496
